ID,female,age,level_sco,nationality,paid_act,internship,children,id_parentsinc,parents_stat,semester,siblings,bac,distance
1s7r88466,1,20,2,1,0,1,0,4,1,1,2,3,11
1y2p84262,0,25,2,1,1,0,0,4,1,1,1,3,11
1a7a56445,1,23,,1,0,,0,8,1,0,2,2,11
1e7n76436,1,24,,1,0,1,0,5,1,1,2,2,11
1e7n96443,0,19,2,1,1,0,0,3,0,0,1,3,11
1e7n54464,1,17,2,1,1,0,0,6,1,1,2,2,11
1m7w42477,1,19,,1,0,1,0,7,1,1,1,4,11
1g7y68455,0,20,2,1,0,1,0,7,1,1,2,3,11
1y7p38476,0,19,,1,1,0,0,7,1,1,1,1,11
1g7v62467,1,22,2,1,1,0,0,3,1,1,0,1,11
1w4k58988,1,20,2,1,1,1,0,7,1,1,2,4,12
1y2s86426,1,20,,1,0,1,0,7,1,1,1,4,12
1s5u28933,0,23,,1,1,0,0,7,1,1,1,1,12
1m4w44744,1,22,,1,1,1,0,7,1,1,1,1,12
1u2z76569,1,22,,1,0,1,0,7,1,0,1,2,13
1e8q66385,1,19,,1,1,1,0,7,1,1,1,2,13
1a4x64944,0,23,,1,1,1,0,8,0,1,1,2,13
1w2h52969,0,20,,1,0,0,0,8,1,0,1,2,13
1c2f38957,0,18,2,1,0,1,0,8,1,1,6,4,13
1w6k92228,1,20,2,1,1,1,0,4,1,1,1,2,13
1q5m22278,0,22,,1,0,1,0,7,1,1,1,1,13
1y7p26243,1,17,,1,1,0,0,7,1,0,1,3,13
1q7m78223,1,25,,1,0,0,0,8,0,0,2,3,13
1w4h76262,1,21,,1,0,1,0,7,1,1,1,1,14
1s5u86296,1,19,2,1,1,1,0,3,1,1,0,1,14
1q2j72275,1,20,,1,1,1,0,8,0,1,1,4,14
1s4r44974,0,19,,1,0,1,0,7,1,1,1,4,14
1s9u26445,0,21,2,1,1,0,0,4,1,1,4,2,14
1e2q28223,0,19,,1,1,1,0,8,1,1,2,4,14
1g6y66749,1,19,,1,1,0,0,6,1,1,0,1,14
1w7k62538,1,26,2,1,0,1,0,5,0,0,0,1,14
1w2h86277,1,18,2,1,1,1,0,5,1,1,2,1,15
1u7z22666,0,18,,1,1,0,0,7,1,1,1,1,15
1q3j44273,1,21,2,1,0,1,0,5,1,1,1,4,15
1u7c26659,1,20,2,1,1,1,0,5,1,1,3,1,15
1w6k86383,1,24,,1,0,1,0,8,0,1,1,2,15
1s5u56673,0,21,2,0,0,0,0,2,1,1,4,1,15
1w3h68999,1,26,,1,1,0,0,8,1,0,2,1,15
1u5c98274,1,20,,1,1,1,0,7,1,1,1,3,16
1u5c86247,1,19,,1,1,0,0,8,1,1,1,4,16
1u5c22282,1,26,,1,0,0,0,8,0,0,1,3,16
1u5z42284,1,22,2,1,0,0,0,5,0,1,2,1,16
1u5z62276,1,18,,1,1,0,0,8,1,1,1,1,16
1y5p98272,0,20,2,1,1,1,0,5,1,0,1,2,16
1q6m64244,0,22,,1,0,0,0,7,1,0,1,3,16
1a5x26293,0,20,,1,1,1,0,8,0,1,1,2,16
1q5m48283,1,22,2,1,0,1,0,4,1,1,1,2,16
1w5k96259,0,21,2,1,1,1,0,6,1,1,1,2,16
1a5a48298,1,21,2,1,0,0,0,5,1,1,1,1,16
1e7n66239,0,20,,1,1,1,0,7,1,1,0,1,16
1u5z66999,0,23,,1,0,1,0,7,1,0,1,1,16
1m3t34445,0,21,2,1,1,0,0,7,1,0,4,2,16
1w2h84276,1,23,,1,0,0,0,7,1,0,1,2,16
1e4n98752,1,24,,1,1,1,0,7,1,1,1,1,16
1w4h84768,1,23,2,1,1,0,0,3,1,1,4,1,16
1g2v46652,0,21,,1,0,0,0,8,0,1,1,1,16
1a2a48276,0,22,,1,0,,0,8,1,1,1,2,16
1e8n64565,0,23,,1,0,1,0,8,0,0,1,2,16
1u2c78253,1,20,,1,1,1,0,8,1,1,1,3,16
1y3p94625,1,23,2,1,0,1,0,4,1,1,2,1,16
1y7p46554,0,21,2,1,0,0,0,4,1,1,2,2,16
1w8h98556,1,21,,1,0,1,0,8,1,1,2,2,16
1m3w36666,1,26,,1,0,0,0,7,0,0,1,3,16
1a8a96527,1,23,,1,1,1,0,8,1,0,0,3,16
1g8v28577,1,23,,1,0,1,0,7,1,1,1,4,16
1e2q32278,1,20,,1,1,1,0,7,1,1,1,1,16
1e3q34694,1,28,,1,0,0,0,7,1,0,0,3,16
1w2k24263,1,22,,1,1,1,0,7,1,0,0,3,17
1y5s32637,1,18,2,1,1,0,0,6,1,0,1,3,17
1s5r84672,0,23,2,1,0,1,0,6,1,1,1,1,17
1w8h82554,1,19,,1,0,1,0,6,1,1,2,3,17
1m7w46533,1,19,2,1,0,0,0,7,1,1,3,2,17
1y9p96834,0,20,,1,1,0,0,8,1,0,3,3,17
1u4z88844,1,18,2,1,1,1,0,4,1,1,2,2,17
1s4r22694,0,18,,1,1,0,0,8,0,1,2,2,17
1g6y44665,0,17,2,1,1,0,0,6,1,1,2,1,17
1a2x64642,0,24,,1,0,1,0,7,1,0,1,2,17
1y5p98638,1,21,,1,0,1,0,8,1,1,2,3,17
1q9j52839,0,19,2,1,1,0,0,8,0,1,3,2,17
1a8x42574,0,24,,1,0,0,0,7,1,0,1,1,17
1g3y36673,0,20,,1,0,1,0,8,1,1,2,1,17
1y5s36623,1,18,2,1,1,0,0,7,1,0,2,3,17
1a6a72557,0,20,2,1,1,0,0,7,1,1,2,1,17
1c4f42654,1,18,,1,1,1,0,7,1,1,0,4,17
1a7a46563,1,21,2,1,0,0,0,4,1,1,1,3,17
1m6w72667,1,18,2,1,1,0,0,5,1,1,1,2,17
1a2x82225,1,20,2,1,1,1,0,4,1,1,2,1,17
1m5w42627,1,18,,1,1,0,0,7,0,0,0,2,17
1y7p74552,1,20,2,1,0,1,0,3,1,0,3,1,17
1e4n22857,0,19,2,1,1,1,0,5,1,0,1,1,17
1s9u64836,0,20,,1,0,0,0,8,1,1,1,3,17
1q6j28568,1,24,2,1,0,1,0,2,1,1,1,1,17
1s6u94555,1,23,2,1,0,1,0,6,1,1,3,1,17
1u2z28263,0,20,,1,1,0,0,7,1,1,1,1,17
1g8y72537,0,20,,1,0,0,0,7,1,1,1,3,17
1g4y86633,1,19,,1,1,0,0,6,0,1,0,4,17
1g2v28624,0,26,,1,0,1,0,7,0,0,1,3,17
1y3p92674,1,21,,1,0,0,0,8,1,0,0,3,17
1m8w82588,0,20,,1,0,0,0,8,1,1,1,4,17
1w2h96682,0,18,,1,1,0,0,8,1,0,1,4,17
1y2p86687,1,17,,1,1,0,0,8,1,0,0,3,17
1m2t22277,0,24,,1,1,1,0,7,1,1,1,2,17
1s3r22875,0,18,2,1,1,0,0,3,1,0,1,4,17
1w8k92399,0,17,,1,1,0,0,7,1,1,1,1,17
1u3z26873,1,17,,1,1,0,0,8,1,0,1,3,17
1s6u88635,1,26,2,1,0,0,0,7,0,1,2,1,17
1q9j72624,1,19,,1,1,1,0,7,1,1,1,1,18
1u9c44785,0,19,2,1,1,0,0,6,1,0,2,1,18
1w9k42785,0,19,,1,1,0,0,7,1,0,0,3,18
1y3s26784,1,26,,1,0,0,0,7,0,1,1,3,18
1c3f56764,1,23,,1,0,1,0,8,0,1,1,1,18
1g5v62852,1,20,2,1,0,1,0,3,1,0,1,2,18
1g5y68854,1,17,2,1,0,1,0,5,1,1,2,2,18
1g2v96232,0,20,,1,0,0,0,7,1,1,1,1,18
1s3r32624,0,18,,1,1,0,0,7,1,1,0,2,18
1u2z94232,0,19,,1,0,1,0,7,1,0,1,1,18
1u6c86583,1,21,2,1,1,1,0,6,1,1,3,2,18
1s2u72866,0,17,,1,1,0,0,7,1,0,1,3,18
1g2v72866,0,18,2,1,1,0,0,6,1,0,2,4,18
1u2z58749,0,19,,1,1,0,0,8,1,1,1,2,18
1y6s26275,0,18,2,1,1,0,0,7,1,1,2,2,19
1a4x58237,1,19,2,1,0,0,0,6,1,1,1,1,19
1a2x76775,1,19,,1,0,0,0,8,1,1,2,4,19
1y3p96426,1,19,2,1,0,1,0,3,1,1,3,1,19
1q3m88444,1,22,2,1,0,0,0,3,1,1,2,1,19
1a2a84484,1,19,,1,1,0,0,6,1,1,0,2,19
1m5t34476,1,22,2,1,1,1,0,5,0,1,0,1,19
1s6u22728,1,25,,1,0,0,0,8,1,1,2,1,19
1g7v86656,1,18,,1,1,0,0,7,1,1,1,1,19
1u7c34654,1,21,2,1,0,1,0,5,1,1,1,2,19
1e7n68648,1,19,,1,0,0,0,6,1,0,0,2,19
1s7u98654,0,19,2,1,1,1,0,5,0,1,1,3,19
1u7z68898,0,19,,1,1,0,0,7,1,0,1,3,19
1s8r58472,1,17,,1,1,1,0,7,1,1,1,4,20
1q8j48474,1,18,2,1,1,1,0,3,0,1,1,1,20
1a9x58494,0,19,,1,1,1,0,7,1,1,0,2,20
1w9k88492,1,20,,1,1,0,0,6,1,1,0,4,20
1m2t26546,1,24,2,1,1,0,0,6,1,1,4,2,20
1s2u56544,0,19,,1,1,0,0,6,1,1,0,2,20
1a2a92532,1,20,2,1,0,1,0,5,1,1,1,4,20
1q2m96534,1,18,,1,0,1,0,7,0,1,1,2,20
1w9h84498,1,19,,1,1,0,0,7,1,1,1,1,20
1e2q92535,1,18,2,1,1,1,0,6,1,1,1,2,20
1m6t84228,1,18,,1,0,1,0,7,1,1,1,1,21
1g3v62434,0,19,,1,0,1,0,8,1,1,1,1,21
1a6a44639,1,18,2,1,0,0,0,6,0,1,1,2,21
